,Curtailment,Shortfall,Wind + PV + Storage,Wind + PV Generation,Load,State of Charge,Battery Used,Final Diesel Shortfall,Total Diesel Power Supplied,Total Diesel Fuel Used
145,0.0,3643.64,0.0,0.0,3643.64,0.0,0.0,0.0,3643.64,220.01532268370605
146,0.0,3405.51,0.0,0.0,3405.51,0.0,0.0,0.0,3405.51,205.63622683706072
147,0.0,3493.18,0.0,0.0,3493.18,0.0,0.0,0.0,3493.18,210.93003833865814
148,0.0,3618.01,0.0,0.0,3618.01,0.0,0.0,0.0,3618.01,218.467696485623
149,0.0,3584.1,0.0,0.0,3584.1,0.0,0.0,0.0,3584.1,216.42009584664535
150,0.0,3476.07,0.0,0.0,3476.07,0.0,0.0,0.0,3476.07,209.89687859424922
151,0.0,4003.11,0.0,0.0,4003.11,0.0,0.0,0.0,4003.11,241.72133865814698
152,0.0,3750.81,0.0,0.0,3750.81,0.0,0.0,0.0,3750.81,226.48661022364217
153,0.0,3834.55,0.0,0.0,3834.55,0.0,0.0,0.0,3834.55,231.54311501597445
154,0.0,3869.06,0.0,0.0,3869.06,0.0,0.0,0.0,3869.06,233.62694568690094
155,0.0,3795.96,0.0,0.0,3795.96,0.0,0.0,0.0,3795.96,229.2129201277955
156,0.0,3776.22,0.0,0.0,3776.22,0.0,0.0,0.0,3776.22,228.0209520766773
157,0.0,3774.79,0.0,0.0,3774.79,0.0,0.0,0.0,3774.79,227.93460383386582
158,0.0,3662.81,0.0,0.0,3662.81,0.0,0.0,0.0,3662.81,221.17287220447284
159,0.0,3650.19,0.0,0.0,3650.19,0.0,0.0,0.0,3650.19,220.4108338658147
160,0.0,3677.62,0.0,0.0,3677.62,0.0,0.0,0.0,3677.62,222.0671501597444
161,0.0,3713.57,0.0,0.0,3713.57,0.0,0.0,0.0,3713.57,224.23793290734824
162,0.0,3705.68,0.0,0.0,3705.68,0.0,0.0,0.0,3705.68,223.76150798722043
163,0.0,3819.01,0.0,0.0,3819.01,0.0,0.0,0.0,3819.01,230.6047571884984
164,0.0,3874.5,0.0,0.0,3874.5,0.0,0.0,0.0,3874.5,233.95543130990416
165,0.0,3880.44,0.0,0.0,3880.44,0.0,0.0,0.0,3880.44,234.31410862619808
166,0.0,3569.22,0.0,0.0,3569.22,0.0,0.0,0.0,3569.22,215.5215910543131
167,0.0,3141.78,0.0,0.0,3141.78,0.0,0.0,0.0,3141.78,189.7113162939297
168,0.0,3128.25,0.0,0.0,3128.25,0.0,0.0,0.0,3128.25,188.89432907348242
169,0.0,2930.18,0.0,0.0,2930.18,0.0,0.0,0.0,2930.18,176.93419169329073
170,0.0,2976.31,0.0,0.0,2976.31,0.0,0.0,0.0,2976.31,179.7196773162939
171,0.0,2827.88,0.0,0.0,2827.88,0.0,0.0,0.0,2827.88,170.7569712460064
172,0.0,2839.72,0.0,0.0,2839.72,0.0,0.0,0.0,2839.72,171.47191054313097
173,0.0,2883.37,0.0,0.0,2883.37,0.0,0.0,0.0,2883.37,174.10764536741212
174,0.0,3299.15,0.0,0.0,3299.15,0.0,0.0,0.0,3299.15,199.2138498402556
175,0.0,3302.03,0.0,0.0,3302.03,0.0,0.0,0.0,3302.03,199.38775399361023
176,0.0,3445.43,0.0,0.0,3445.43,0.0,0.0,0.0,3445.43,208.04673162939295
177,0.0,3620.62,0.0,0.0,3620.62,0.0,0.0,0.0,3620.62,218.62529712460062
178,0.0,4354.38,0.0,0.0,4354.38,0.0,0.0,0.0,4354.38,262.9322108626198
179,0.0,4536.7,0.0,0.0,4536.7,0.0,0.0,0.0,4536.7,273.94130990415334
180,0.0,4609.44,0.0,0.0,4609.44,0.0,0.0,0.0,4609.44,278.33359744408943
181,0.0,4548.26,0.0,0.0,4548.26,0.0,0.0,0.0,4548.26,274.63934185303515
182,0.0,4556.49,0.0,0.0,4556.49,0.0,0.0,0.0,4556.49,275.1362971246006
183,0.0,4482.66,0.0,0.0,4482.66,0.0,0.0,0.0,4482.66,270.6781916932907
184,0.0,4544.87,0.0,0.0,4544.87,0.0,0.0,0.0,4544.87,274.4346421725239
185,0.0,4687.71,0.0,0.0,4687.71,0.0,0.0,0.0,4687.71,283.0598051118211
186,0.0,4650.74,0.0,0.0,4650.74,0.0,0.0,0.0,4650.74,280.8274313099041
187,0.0,4538.66,0.0,0.0,4538.66,0.0,0.0,0.0,4538.66,274.05966134185303
188,0.0,4493.35,0.0,0.0,4493.35,0.0,0.0,0.0,4493.35,271.32369009584664
189,0.0,4347.38,0.0,0.0,4347.38,0.0,0.0,0.0,4347.38,262.5095271565495
190,0.0,4268.0,0.0,0.0,4268.0,0.0,0.0,0.0,4268.0,257.71629392971244
191,0.0,4092.53,0.0,0.0,4092.53,0.0,0.0,0.0,4092.53,247.120821086262
192,0.0,3979.41,0.0,0.0,3979.41,0.0,0.0,0.0,3979.41,240.29025239616612
193,0.0,3881.11,0.0,0.0,3881.11,0.0,0.0,0.0,3881.11,234.35456549520768
194,0.0,3843.59,0.0,0.0,3843.59,0.0,0.0,0.0,3843.59,232.08898083067092
195,0.0,3803.42,0.0,0.0,3803.42,0.0,0.0,0.0,3803.42,229.66338019169328
196,0.0,3847.81,0.0,0.0,3847.81,0.0,0.0,0.0,3847.81,232.3437987220447
197,0.0,3864.19,0.0,0.0,3864.19,0.0,0.0,0.0,3864.19,233.3328785942492
198,0.0,4027.86,0.0,0.0,4027.86,0.0,0.0,0.0,4027.86,243.21582747603833
199,0.0,4127.42,0.0,0.0,4127.42,0.0,0.0,0.0,4127.42,249.22759744408947
200,0.0,4296.05,0.0,0.0,4296.05,0.0,0.0,0.0,4296.05,259.4100479233227
201,0.0,4513.56,0.0,0.0,4513.56,0.0,0.0,0.0,4513.56,272.54403833865814
202,0.0,4683.25,0.0,0.0,4683.25,0.0,0.0,0.0,4683.25,282.79049520766773
203,0.0,4700.37,0.0,0.0,4700.37,0.0,0.0,0.0,4700.37,283.8242587859425
204,0.0,4759.07,0.0,0.0,4759.07,0.0,0.0,0.0,4759.07,287.36876357827475
205,0.0,4811.9,0.0,0.0,4811.9,0.0,0.0,0.0,4811.9,290.5588178913738
206,0.0,4871.68,0.0,0.0,4871.68,0.0,0.0,0.0,4871.68,294.1685367412141
207,0.0,4820.19,0.0,0.0,4820.19,0.0,0.0,0.0,4820.19,291.05939616613415
208,0.0,4830.37,0.0,0.0,4830.37,0.0,0.0,0.0,4830.37,291.6740990415335
209,0.0,4998.63,0.0,0.0,4998.63,0.0,0.0,0.0,4998.63,301.8342076677316
210,0.0,5055.68,0.0,0.0,5055.68,0.0,0.0,0.0,5055.68,305.2790798722045
211,0.0,4974.89,0.0,0.0,4974.89,0.0,0.0,0.0,4974.89,300.4007060702875
212,0.0,4839.53,0.0,0.0,4839.53,0.0,0.0,0.0,4839.53,292.2272108626198
213,0.0,4620.06,0.0,0.0,4620.06,0.0,0.0,0.0,4620.06,278.97486900958467
214,0.0,4431.52,0.0,0.0,4431.52,0.0,0.0,0.0,4431.52,267.5901853035144
215,0.0,4163.61,0.0,0.0,4163.61,0.0,0.0,0.0,4163.61,251.41287220447282
216,0.0,3972.69,0.0,0.0,3972.69,0.0,0.0,0.0,3972.69,239.88447603833865
217,0.0,3857.83,0.0,0.0,3857.83,0.0,0.0,0.0,3857.83,232.94884025559105
218,0.0,3763.63,0.0,0.0,3763.63,0.0,0.0,0.0,3763.63,227.26072523961662
219,0.0,3726.93,0.0,0.0,3726.93,0.0,0.0,0.0,3726.93,225.04465495207666
220,0.0,3771.32,0.0,0.0,3771.32,0.0,0.0,0.0,3771.32,227.72507348242812
221,0.0,3925.43,0.0,0.0,3925.43,0.0,0.0,0.0,3925.43,237.0307571884984
222,0.0,4194.37,0.0,0.0,4194.37,0.0,0.0,0.0,4194.37,253.27026517571883
223,0.0,4524.75,0.0,0.0,4524.75,0.0,0.0,0.0,4524.75,273.21972843450476
224,0.0,4691.41,0.0,0.0,4691.41,0.0,0.0,0.0,4691.41,283.2832236421725
225,0.0,4804.24,0.0,0.0,4804.24,0.0,0.0,0.0,4804.24,290.0962811501597
226,0.0,4856.18,0.0,0.0,4856.18,0.0,0.0,0.0,4856.18,293.23259424920127
227,0.0,4735.54,0.0,0.0,4735.54,0.0,0.0,0.0,4735.54,285.94794249201277
228,0.0,4702.61,0.0,0.0,4702.61,0.0,0.0,0.0,4702.61,283.959517571885
229,0.0,4686.49,0.0,0.0,4686.49,0.0,0.0,0.0,4686.49,282.9861373801917
230,0.0,4655.82,0.0,0.0,4655.82,0.0,0.0,0.0,4655.82,281.13417891373797
231,0.0,4615.09,0.0,0.0,4615.09,0.0,0.0,0.0,4615.09,278.6747635782748
232,0.0,4674.46,0.0,0.0,4674.46,0.0,0.0,0.0,4674.46,282.2597252396166
